SBS0_Load,SBS0_SINR,SBS0_PRB,SBS0_Power,SBS1_Load,SBS1_SINR,SBS1_PRB,SBS1_Power,SBS2_Load,SBS2_SINR,SBS2_PRB,SBS2_Power,SBS3_Load,SBS3_SINR,SBS3_PRB,SBS3_Power,SBS4_Load,SBS4_SINR,SBS4_PRB,SBS4_Power,SBS5_Load,SBS5_SINR,SBS5_PRB,SBS5_Power,Throughput,Delay,SINR,EnergyEfficiency,TotalPower,PacketLoss,BackhaulUtilization,SleepRatio,ActiveSBS,Reward
51.3998,4.13826,25,20,26.2446,3.16695,20,22,27.4601,13.4576,31,31,47.5328,5.6846,20,22,31.4203,21.1582,52,30,34.2939,15.7326,34,30,43.5417,0.004,10.5564,1.15569,37.6759,4.5,8.79913,0,6,53.2601
49.9869,17.1676,32,25,42.9851,17.2205,21,26,52.5478,20.8676,35,25,22.865,24.357,24,27,20.9457,21.1775,45,26,55.4007,11.8786,46,23,38.0715,0.006,18.7781,1.05375,36.1294,0.5,10.3681,0,6,60.3059
40.192,8.54872,28,20,37.0943,5.93556,20,22,20.1109,17.4576,33,30,52.9233,15.2325,35,24,30.6922,14.1962,45,25,26.3798,14.2391,30,26,31.9133,0.005,12.6016,0.919054,34.724,3.5,18.1703,0.166667,5,37.8743
55.464,7.54695,29,23,28.1589,14.2334,21,28,27.4097,13.9718,31,26,30.9231,15.5349,22,31,43.0242,7.2747,43,24,27.0276,8.11475,26,27,28.3465,0.004,11.1128,0.761187,37.2399,2.5,7.57118,0,6,35.3829
55.464,7.54695,29,23,28.1589,14.2334,21,28,27.4097,13.9718,31,28,30.9231,15.5349,32,31,43.0242,7.2747,43,24,27.0276,8.11475,26,29,28.3465,0.004,11.1128,0.815354,34.7659,2.5,21.0311,0.333333,4,35.6104
56.6442,20.7735,41,24,20.4693,9.47912,20,24,43.1756,15.6208,35,26,49.3783,26.3163,35,27,32.3446,22.9104,53,31,34.0269,3.09498,22,23,49.6891,0.004,16.3658,1.40523,35.3601,3.5,37.1515,0.166667,5,67.8121
52.7754,14.7364,35,22,38.9297,14.7276,33,25,55.628,23.787,44,27,50.6255,4.82913,26,23,15.418,14.683,42,25,46.2904,6.9698,27,27,28.389,0.002,13.2888,0.86046,32.9928,3.5,21.3483,0.333333,4,32.1773
37.9065,16.0979,34,24,29.7502,10.9337,20,25,53.5063,10.6867,32,23,47.7837,13.1341,23,28,11.7781,17.2827,42,29,49.1849,21.9094,41,30,45.2359,0.008,15.0074,1.21627,37.1922,3.5,14.1097,0,6,60.1454
45.998,15.2044,34,23,59.9648,23.9344,34,31,53.5786,8.41251,30,23,24.0407,15.6443,22,29,13.6114,18.0421,45,26,58.565,7.07155,29,26,37.7284,0.002,14.7182,1.01288,37.2485,3.5,5.04434,0,6,47.5545
45.998,15.2044,34,23,59.9648,23.9344,34,31,53.5786,8.41251,30,23,24.0407,15.6443,32,29,13.6114,18.0421,45,26,58.565,7.07155,47,26,37.7284,0.002,14.7182,1.05538,35.7485,3.5,27.4636,0.166667,5,47.342
25.0647,10.2233,27,20,29.9624,22.3528,29,25,28.1794,17.3764,34,21,28.9744,14.4548,22,23,11.477,15.2371,40,25,21.122,17.5959,33,24,29.8405,0.002,16.2067,0.845122,35.3091,4.5,5.80919,0,6,30.5127
57.503,4.53736,22,21,18.119,15.8251,20,31,50.2628,9.05468,25,21,46.2461,9.67261,24,25,10.5727,13.2784,33,26,48.7301,14.69,30,31,27.1535,0.007,11.1764,0.7546,35.984,0.5,26.9997,0.166667,5,41.0433
57.503,4.53736,22,21,18.119,15.8251,20,31,50.2628,9.05468,25,23,46.2461,9.67261,20,25,10.5727,13.2784,33,26,48.7301,14.69,47,31,27.1535,0.007,11.1764,0.722983,37.5576,0.5,9.71989,0,6,41.1829
56.9093,15.2841,36,20,47.9524,22.8019,42,31,32.7056,13.3131,30,25,54.5017,8.98856,31,30,43.1308,9.44353,45,25,23.084,15.717,32,22,27.2682,0.004,14.258,0.734004,37.1499,2.5,4.83067,0,6,33.6373
45.751,8.90434,29,22,44.2547,26.4587,34,31,56.0153,15.7388,37,30,12.8183,9.22604,20,26,41.0633,4.05195,40,24,21.0363,13.0054,20,23,46.6257,0.007,12.8975,1.25115,37.2662,1.5,11.1652,0,6,70.5965
